ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
178060249,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275263912813216,31,23.5,17901.849609375,0.29218408465385437,0,0.0,0.0,1.57542003E9,,,,0,18.299999237060547,6,-5.199999809265137,1.57542003E9
178060250,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275263909917880,32,23.200000762939453,18636.05859375,0.3018958866596222,0,0.0,0.0,1.57542003E9,,,,0,17.299999237060547,6,-5.199999809265137,1.57542003E9
178060250,0,,,-9223372036854775808,,,,,0,10,0.0,815,275249876266767,33,22.899999618530273,18611.392578125,0.3121001422405243,0,0.0,0.0,1.56109798E9,,,,0,20.399999618530273,5,-5.199999809265137,1.56109798E9
178060251,0,,,-9223372036854775808,,,,,0,7,0.0,815,275249874063389,32,23.200000762939453,18600.421875,0.3018958866596222,0,0.0,0.0,1.56109798E9,,,,0,19.200000762939453,5,-5.199999809265137,1.56109798E9
178060264,0,,,-9223372036854775808,,,,,0,9,0.0,815,275249879307967,41,20.600000381469727,18260.6171875,0.4109138548374176,0,0.0,0.0,1.56109798E9,,,,0,16.5,5,-5.199999809265137,1.56109798E9
178060300,0,,,-9223372036854775808,,,,,0,12,0.0,47,275263925995123,28,24.5,18626.02734375,0.26298487186431885,0,0.0,0.0,1.57542003E9,,,,0,21.600000381469727,1,-5.199999809265137,1.57542003E9
178060301,0,,,-9223372036854775808,,,,,0,24,0.0,47,275263920161623,34,22.5,18055.125,0.3265306055545807,0,0.0,0.0,1.57542003E9,,,,0,17.299999237060547,1,-5.199999809265137,1.57542003E9
178060301,0,,,-9223372036854775808,,,,,0,25,0.0,47,275263921594336,52,18.399999618530273,18382.98046875,0.5569169521331787,0,0.0,0.0,1.57542003E9,,,,0,10.800000190734863,1,-5.199999809265137,1.57542003E9
178060301,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275263913061956,24,26.299999237060547,18591.8515625,0.22041483223438263,0,0.0,0.0,1.57542003E9,,,,0,21.5,6,-5.199999809265137,1.57542003E9
178060302,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275263912813216,31,23.5,17901.849609375,0.29218408465385437,0,0.0,0.0,1.57542003E9,,,,0,18.299999237060547,6,-5.199999809265137,1.57542003E9
178060302,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275263909917880,32,23.200000762939453,18636.05859375,0.3018958866596222,0,0.0,0.0,1.57542003E9,,,,0,17.299999237060547,6,-5.199999809265137,1.57542003E9
178060302,0,,,-9223372036854775808,,,,,0,10,0.0,815,275249876266767,33,22.899999618530273,18611.392578125,0.3121001422405243,0,0.0,0.0,1.56109798E9,,,,0,20.399999618530273,5,-5.199999809265137,1.56109798E9
178060302,0,,,-9223372036854775808,,,,,0,7,0.0,815,275249874063389,32,23.100000381469727,18600.421875,0.3052409589290619,0,0.0,0.0,1.56109798E9,,,,0,19.200000762939453,5,-5.199999809265137,1.56109798E9
178060303,0,,,-9223372036854775808,,,,,0,9,0.0,815,275249879307967,41,20.5,18260.6171875,0.416233092546463,0,0.0,0.0,1.56109798E9,,,,0,16.5,5,-5.199999809265137,1.56109798E9
178061246,0,,,-9223372036854775808,,,,,0,12,0.0,47,275264925994416,28,24.5,18625.2109375,0.26298487186431885,0,0.0,0.0,1.57542003E9,,,,0,21.299999237060547,1,-5.199999809265137,1.57542003E9
178061252,0,,,-9223372036854775808,,,,,0,24,0.0,47,275264920162858,34,22.5,18055.845703125,0.3265306055545807,0,0.0,0.0,1.57542003E9,,,,0,15.800000190734863,1,-5.199999809265137,1.57542003E9
178061253,0,,,-9223372036854775808,,,,,0,25,0.0,47,275264921594428,52,18.399999618530273,18382.697265625,0.5569169521331787,0,0.0,0.0,1.57542003E9,,,,0,15.300000190734863,1,-5.199999809265137,1.57542003E9
178061253,0,,,-9223372036854775808,,,,,0,2,0.0,7215,275264913061379,24,26.5,18593.3671875,0.21633315086364746,0,0.0,0.0,1.57542003E9,,,,0,21.399999618530273,6,-5.199999809265137,1.57542003E9
178061253,0,,,-9223372036854775808,,,,,0,8,0.0,7215,275264912814951,30,23.700000762939453,17901.263671875,0.28596755862236023,0,0.0,0.0,1.57542003E9,,,,0,18.700000762939453,6,-5.199999809265137,1.57542003E9
178061254,0,,,-9223372036854775808,,,,,0,25,0.0,7215,275264909917175,31,23.299999237060547,18636.609375,0.2986055314540863,0,0.0,0.0,1.57542003E9,,,,0,18.0,6,-5.199999809265137,1.57542003E9
178061254,0,,,-9223372036854775808,,,,,0,10,0.0,815,275250876266171,32,23.100000381469727,18612.044921875,0.3052409589290619,0,0.0,0.0,1.56109798E9,,,,0,20.100000381469727,5,-5.199999809265137,1.56109798E9
178061255,0,,,-9223372036854775808,,,,,0,7,0.0,815,275250874062797,32,23.100000381469727,18601.03125,0.3052409589290619,0,0.0,0.0,1.56109798E9,,,,0,18.700000762939453,5,-5.199999809265137,1.56109798E9
